website	day	month	year	country	fullPageUrl
dgidb.org - GA4	01	01	2025	(not set)	dgidb.org/
dgidb.org - GA4	01	01	2025	Brazil	dgidb.org/
dgidb.org - GA4	01	01	2025	Brazil	dgidb.org/results?searchType=drug&searchTerms=NARAZACICLIB%2CEntinostat
dgidb.org - GA4	01	01	2025	Bulgaria	dgidb.org/
dgidb.org - GA4	01	01	2025	Canada	dgidb.org/
dgidb.org - GA4	01	01	2025	China	dgidb.org/
dgidb.org - GA4	01	01	2025	China	dgidb.org/about
dgidb.org - GA4	01	01	2025	China	dgidb.org/browse/categories
dgidb.org - GA4	01	01	2025	China	dgidb.org/browse/sources
dgidb.org - GA4	01	01	2025	China	dgidb.org/downloads
dgidb.org - GA4	01	01	2025	China	dgidb.org/drugs/THIOPHENE
dgidb.org - GA4	01	01	2025	China	dgidb.org/drugs/chembl:CHEMBL1576310
dgidb.org - GA4	01	01	2025	China	dgidb.org/drugs/chembl:CHEMBL37537
dgidb.org - GA4	01	01	2025	China	dgidb.org/drugs/chembl:CHEMBL4297507
dgidb.org - GA4	01	01	2025	China	dgidb.org/drugs/chembl:CHEMBL4297555
dgidb.org - GA4	01	01	2025	China	dgidb.org/drugs/chembl:chembl539934
dgidb.org - GA4	01	01	2025	China	dgidb.org/drugs/drugbank:DB14765
dgidb.org - GA4	01	01	2025	China	dgidb.org/drugs/iuphar.ligand:10438
dgidb.org - GA4	01	01	2025	China	dgidb.org/drugs/iuphar.ligand:11275
dgidb.org - GA4	01	01	2025	China	dgidb.org/drugs/iuphar.ligand:11678
dgidb.org - GA4	01	01	2025	China	dgidb.org/drugs/iuphar.ligand:11845
dgidb.org - GA4	01	01	2025	China	dgidb.org/drugs/iuphar.ligand:12381
dgidb.org - GA4	01	01	2025	China	dgidb.org/drugs/iuphar.ligand:13212
dgidb.org - GA4	01	01	2025	China	dgidb.org/drugs/iuphar.ligand:13492
dgidb.org - GA4	01	01	2025	China	dgidb.org/drugs/iuphar.ligand:223
dgidb.org - GA4	01	01	2025	China	dgidb.org/drugs/iuphar.ligand:526
dgidb.org - GA4	01	01	2025	China	dgidb.org/drugs/iuphar.ligand:8170
dgidb.org - GA4	01	01	2025	China	dgidb.org/drugs/iuphar.ligand:9921
dgidb.org - GA4	01	01	2025	China	dgidb.org/drugs/ncit:C116729
dgidb.org - GA4	01	01	2025	China	dgidb.org/drugs/ncit:C1454
dgidb.org - GA4	01	01	2025	China	dgidb.org/drugs/ncit:C170291
dgidb.org - GA4	01	01	2025	China	dgidb.org/drugs/ncit:C278
dgidb.org - GA4	01	01	2025	China	dgidb.org/drugs/ncit:C66539
dgidb.org - GA4	01	01	2025	China	dgidb.org/drugs/ncit:C71759
dgidb.org - GA4	01	01	2025	China	dgidb.org/drugs/ncit:C74108
dgidb.org - GA4	01	01	2025	China	dgidb.org/drugs/ncit:C79809
dgidb.org - GA4	01	01	2025	China	dgidb.org/drugs/ncit:C87386; https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL2108025/
dgidb.org - GA4	01	01	2025	China	dgidb.org/drugs/rxcui:10114
dgidb.org - GA4	01	01	2025	China	dgidb.org/drugs/rxcui:1043
dgidb.org - GA4	01	01	2025	China	dgidb.org/drugs/rxcui:106101
dgidb.org - GA4	01	01	2025	China	dgidb.org/drugs/rxcui:10634
dgidb.org - GA4	01	01	2025	China	dgidb.org/drugs/rxcui:1098413
dgidb.org - GA4	01	01	2025	China	dgidb.org/drugs/rxcui:11118
dgidb.org - GA4	01	01	2025	China	dgidb.org/drugs/rxcui:11202
dgidb.org - GA4	01	01	2025	China	dgidb.org/drugs/rxcui:11246
dgidb.org - GA4	01	01	2025	China	dgidb.org/drugs/rxcui:11289
dgidb.org - GA4	01	01	2025	China	dgidb.org/drugs/rxcui:1191
dgidb.org - GA4	01	01	2025	China	dgidb.org/drugs/rxcui:120608
dgidb.org - GA4	01	01	2025	China	dgidb.org/drugs/rxcui:1297766
dgidb.org - GA4	01	01	2025	China	dgidb.org/drugs/rxcui:1309980
dgidb.org - GA4	01	01	2025	China	dgidb.org/drugs/rxcui:134615
dgidb.org - GA4	01	01	2025	China	dgidb.org/drugs/rxcui:1364347
dgidb.org - GA4	01	01	2025	China	dgidb.org/drugs/rxcui:142432
dgidb.org - GA4	01	01	2025	China	dgidb.org/drugs/rxcui:1491625
dgidb.org - GA4	01	01	2025	China	dgidb.org/drugs/rxcui:1552358
dgidb.org - GA4	01	01	2025	China	dgidb.org/drugs/rxcui:15996
dgidb.org - GA4	01	01	2025	China	dgidb.org/drugs/rxcui:167
dgidb.org - GA4	01	01	2025	China	dgidb.org/drugs/rxcui:1760
dgidb.org - GA4	01	01	2025	China	dgidb.org/drugs/rxcui:18475
dgidb.org - GA4	01	01	2025	China	dgidb.org/drugs/rxcui:1998
dgidb.org - GA4	01	01	2025	China	dgidb.org/drugs/rxcui:203142
dgidb.org - GA4	01	01	2025	China	dgidb.org/drugs/rxcui:203168
dgidb.org - GA4	01	01	2025	China	dgidb.org/drugs/rxcui:203214
dgidb.org - GA4	01	01	2025	China	dgidb.org/drugs/rxcui:20352
dgidb.org - GA4	01	01	2025	China	dgidb.org/drugs/rxcui:2045371
dgidb.org - GA4	01	01	2025	China	dgidb.org/drugs/rxcui:2047232
dgidb.org - GA4	01	01	2025	China	dgidb.org/drugs/rxcui:2105806
dgidb.org - GA4	01	01	2025	China	dgidb.org/drugs/rxcui:218337
dgidb.org - GA4	01	01	2025	China	dgidb.org/drugs/rxcui:220982
dgidb.org - GA4	01	01	2025	China	dgidb.org/drugs/rxcui:228054
dgidb.org - GA4	01	01	2025	China	dgidb.org/drugs/rxcui:2286252
dgidb.org - GA4	01	01	2025	China	dgidb.org/drugs/rxcui:235991
dgidb.org - GA4	01	01	2025	China	dgidb.org/drugs/rxcui:236460
dgidb.org - GA4	01	01	2025	China	dgidb.org/drugs/rxcui:236540
dgidb.org - GA4	01	01	2025	China	dgidb.org/drugs/rxcui:2394936
dgidb.org - GA4	01	01	2025	China	dgidb.org/drugs/rxcui:2403
dgidb.org - GA4	01	01	2025	China	dgidb.org/drugs/rxcui:24395
dgidb.org - GA4	01	01	2025	China	dgidb.org/drugs/rxcui:253453
dgidb.org - GA4	01	01	2025	China	dgidb.org/drugs/rxcui:2563966
dgidb.org - GA4	01	01	2025	China	dgidb.org/drugs/rxcui:2591476
dgidb.org - GA4	01	01	2025	China	dgidb.org/drugs/rxcui:2603494
dgidb.org - GA4	01	01	2025	China	dgidb.org/drugs/rxcui:2626
dgidb.org - GA4	01	01	2025	China	dgidb.org/drugs/rxcui:28863
dgidb.org - GA4	01	01	2025	China	dgidb.org/drugs/rxcui:29998
dgidb.org - GA4	01	01	2025	China	dgidb.org/drugs/rxcui:3008
dgidb.org - GA4	01	01	2025	China	dgidb.org/drugs/rxcui:301542
dgidb.org - GA4	01	01	2025	China	dgidb.org/drugs/rxcui:30257
dgidb.org - GA4	01	01	2025	China	dgidb.org/drugs/rxcui:3041
dgidb.org - GA4	01	01	2025	China	dgidb.org/drugs/rxcui:3098
dgidb.org - GA4	01	01	2025	China	dgidb.org/drugs/rxcui:3131
dgidb.org - GA4	01	01	2025	China	dgidb.org/drugs/rxcui:31765
dgidb.org - GA4	01	01	2025	China	dgidb.org/drugs/rxcui:327361
dgidb.org - GA4	01	01	2025	China	dgidb.org/drugs/rxcui:35636
dgidb.org - GA4	01	01	2025	China	dgidb.org/drugs/rxcui:357977
dgidb.org - GA4	01	01	2025	China	dgidb.org/drugs/rxcui:39841
dgidb.org - GA4	01	01	2025	China	dgidb.org/drugs/rxcui:3992
dgidb.org - GA4	01	01	2025	China	dgidb.org/drugs/rxcui:40575
dgidb.org - GA4	01	01	2025	China	dgidb.org/drugs/rxcui:4316
dgidb.org - GA4	01	01	2025	China	dgidb.org/drugs/rxcui:4511
dgidb.org - GA4	01	01	2025	China	dgidb.org/drugs/rxcui:4719
dgidb.org - GA4	01	01	2025	China	dgidb.org/drugs/rxcui:47579
dgidb.org - GA4	01	01	2025	China	dgidb.org/drugs/rxcui:495881
dgidb.org - GA4	01	01	2025	China	dgidb.org/drugs/rxcui:5033
dgidb.org - GA4	01	01	2025	China	dgidb.org/drugs/rxcui:52582
dgidb.org - GA4	01	01	2025	China	dgidb.org/drugs/rxcui:5463
dgidb.org - GA4	01	01	2025	China	dgidb.org/drugs/rxcui:5509
dgidb.org - GA4	01	01	2025	China	dgidb.org/drugs/rxcui:598
dgidb.org - GA4	01	01	2025	China	dgidb.org/drugs/rxcui:644
dgidb.org - GA4	01	01	2025	China	dgidb.org/drugs/rxcui:6472
dgidb.org - GA4	01	01	2025	China	dgidb.org/drugs/rxcui:66887
dgidb.org - GA4	01	01	2025	China	dgidb.org/drugs/rxcui:68244
dgidb.org - GA4	01	01	2025	China	dgidb.org/drugs/rxcui:6835
dgidb.org - GA4	01	01	2025	China	dgidb.org/drugs/rxcui:6851
dgidb.org - GA4	01	01	2025	China	dgidb.org/drugs/rxcui:70223
dgidb.org - GA4	01	01	2025	China	dgidb.org/drugs/rxcui:72610
dgidb.org - GA4	01	01	2025	China	dgidb.org/drugs/rxcui:7512
dgidb.org - GA4	01	01	2025	China	dgidb.org/drugs/rxcui:8047
dgidb.org - GA4	01	01	2025	China	dgidb.org/drugs/rxcui:8126
dgidb.org - GA4	01	01	2025	China	dgidb.org/drugs/rxcui:8149
dgidb.org - GA4	01	01	2025	China	dgidb.org/drugs/rxcui:8153
dgidb.org - GA4	01	01	2025	China	dgidb.org/drugs/rxcui:83885
dgidb.org - GA4	01	01	2025	China	dgidb.org/drugs/rxcui:83929
dgidb.org - GA4	01	01	2025	China	dgidb.org/drugs/rxcui:8629
dgidb.org - GA4	01	01	2025	China	dgidb.org/drugs/rxcui:8794
dgidb.org - GA4	01	01	2025	China	dgidb.org/drugs/rxcui:9344
dgidb.org - GA4	01	01	2025	China	dgidb.org/drugs/rxcui:9525
dgidb.org - GA4	01	01	2025	China	dgidb.org/genes/hgnc:11039
dgidb.org - GA4	01	01	2025	China	dgidb.org/genes/hgnc:11919
dgidb.org - GA4	01	01	2025	China	dgidb.org/genes/hgnc:13621
dgidb.org - GA4	01	01	2025	China	dgidb.org/genes/hgnc:16369
dgidb.org - GA4	01	01	2025	China	dgidb.org/genes/hgnc:1673
dgidb.org - GA4	01	01	2025	China	dgidb.org/genes/hgnc:1674
dgidb.org - GA4	01	01	2025	China	dgidb.org/genes/hgnc:20653
dgidb.org - GA4	01	01	2025	China	dgidb.org/genes/hgnc:25752
dgidb.org - GA4	01	01	2025	China	dgidb.org/genes/hgnc:6148
dgidb.org - GA4	01	01	2025	China	dgidb.org/genes/hgnc:6561
dgidb.org - GA4	01	01	2025	China	dgidb.org/genes/hgnc:6667
dgidb.org - GA4	01	01	2025	China	dgidb.org/genes/hgnc:7158
dgidb.org - GA4	01	01	2025	China	dgidb.org/interactions/f29dc65d-ba38-4573-8e1b-568dc6fa2da4
dgidb.org - GA4	01	01	2025	China	dgidb.org/results?searchType=categories&searchTerms=PARKINSONISM+ASSOCIATED+DEGLYCASE
dgidb.org - GA4	01	01	2025	China	dgidb.org/results?searchType=drug&searchTerms=ANTI-THYMOCYTE+GLOBULIN
dgidb.org - GA4	01	01	2025	China	dgidb.org/results?searchType=drug&searchTerms=ATORVASTATIN+CALCIUM+TRIHYDRATE
dgidb.org - GA4	01	01	2025	China	dgidb.org/results?searchType=drug&searchTerms=Atorvastatin
dgidb.org - GA4	01	01	2025	China	dgidb.org/results?searchType=drug&searchTerms=DAPAGLIFLOZIN
dgidb.org - GA4	01	01	2025	China	dgidb.org/results?searchType=drug&searchTerms=EMPAGLIFLOZIN
dgidb.org - GA4	01	01	2025	China	dgidb.org/results?searchType=drug&searchTerms=ROSUVASTATIN
dgidb.org - GA4	01	01	2025	China	dgidb.org/results?searchType=drug&searchTerms=STREPTOZOCIN
dgidb.org - GA4	01	01	2025	China	dgidb.org/results?searchType=drug&searchTerms=Thalidomide
dgidb.org - GA4	01	01	2025	China	dgidb.org/results?searchType=drug&searchTerms=ZILEUTON
dgidb.org - GA4	01	01	2025	China	dgidb.org/results?searchType=drug&searchTerms=loratadine
dgidb.org - GA4	01	01	2025	China	dgidb.org/results?searchType=gene&searchTerms=AOC1
dgidb.org - GA4	01	01	2025	China	dgidb.org/results?searchType=gene&searchTerms=ATP1A2%2CTIMP1%2CADAMTSL2%2CCTSK
dgidb.org - GA4	01	01	2025	China	dgidb.org/results?searchType=gene&searchTerms=BTD
dgidb.org - GA4	01	01	2025	China	dgidb.org/results?searchType=gene&searchTerms=CAPG
dgidb.org - GA4	01	01	2025	China	dgidb.org/results?searchType=gene&searchTerms=CD40
dgidb.org - GA4	01	01	2025	China	dgidb.org/results?searchType=gene&searchTerms=CD40LG%2CZAP70%2CBCL6%2CIL2RB
dgidb.org - GA4	01	01	2025	China	dgidb.org/results?searchType=gene&searchTerms=CD44
dgidb.org - GA4	01	01	2025	China	dgidb.org/results?searchType=gene&searchTerms=CD55%2CGATA2%2CSMARCA2%2CFOXO1
dgidb.org - GA4	01	01	2025	China	dgidb.org/results?searchType=gene&searchTerms=CHI3L1
dgidb.org - GA4	01	01	2025	China	dgidb.org/results?searchType=gene&searchTerms=CPA3
dgidb.org - GA4	01	01	2025	China	dgidb.org/results?searchType=gene&searchTerms=CRP
dgidb.org - GA4	01	01	2025	China	dgidb.org/results?searchType=gene&searchTerms=CXCL8
dgidb.org - GA4	01	01	2025	China	dgidb.org/results?searchType=gene&searchTerms=CYP27A1%0D%0ADCT%0D%0ADHCR7%0D%0ADHCR24%0D%0AHMGCS2%0D%0ALEP%0D%0AMC1R%0D%0AMVD%0D%0AOCA2%0D%0ASREBF1%0D%0ATYR%0D%0ATYRP1%0D%0ASLC45A2%0D%0ADHDDS%0D%0AHSD3B7
dgidb.org - GA4	01	01	2025	China	dgidb.org/results?searchType=gene&searchTerms=ECM1
dgidb.org - GA4	01	01	2025	China	dgidb.org/results?searchType=gene&searchTerms=ELANE
dgidb.org - GA4	01	01	2025	China	dgidb.org/results?searchType=gene&searchTerms=ENG
dgidb.org - GA4	01	01	2025	China	dgidb.org/results?searchType=gene&searchTerms=FLT1%2CFLT2%2CFLT3%2CSTK1%2CMM1%2CAQP1%2CLOC100508755%2CFAKE1
dgidb.org - GA4	01	01	2025	China	dgidb.org/results?searchType=gene&searchTerms=G9a
dgidb.org - GA4	01	01	2025	China	dgidb.org/results?searchType=gene&searchTerms=GPD1L
dgidb.org - GA4	01	01	2025	China	dgidb.org/results?searchType=gene&searchTerms=GRIN3B%2CASGR1%2CLOC112268284%2CRNA28SN4%2CATOH8%2CHBG2%2CHBA2%2CCOL13A1%2CHBA1
dgidb.org - GA4	01	01	2025	China	dgidb.org/results?searchType=gene&searchTerms=ITGAV
dgidb.org - GA4	01	01	2025	China	dgidb.org/results?searchType=gene&searchTerms=LAMB1
dgidb.org - GA4	01	01	2025	China	dgidb.org/results?searchType=gene&searchTerms=LEP
dgidb.org - GA4	01	01	2025	China	dgidb.org/results?searchType=gene&searchTerms=LGALS1
dgidb.org - GA4	01	01	2025	China	dgidb.org/results?searchType=gene&searchTerms=LOC112268284
dgidb.org - GA4	01	01	2025	China	dgidb.org/results?searchType=gene&searchTerms=MAPKAPK5%2CCUX2%2CPTPN11%2CCARD9%2CNRIP1%2CRORA%2CCCND2%2CE2F3%2CPLA2G6%2CATXN2%2CCDK6%2CDVL2%2CFDPS%2CHTRA1%2CLEPR%2CMERTK%2CPDE10A%2CPKLR%2CPML%2CRGS19%2CSLC2A4%2CSREBF1%2CUBASH3B
dgidb.org - GA4	01	01	2025	China	dgidb.org/results?searchType=gene&searchTerms=MICB
dgidb.org - GA4	01	01	2025	China	dgidb.org/results?searchType=gene&searchTerms=PPARGC1A
dgidb.org - GA4	01	01	2025	China	dgidb.org/results?searchType=gene&searchTerms=PTK2B
dgidb.org - GA4	01	01	2025	China	dgidb.org/results?searchType=gene&searchTerms=RPS24%2CRPL31%2CPSMA2%2CKMO%2CARG1%2CCASP3%2CC1QB%2CTXN%2CAKR1C3%2CKYNU%2CHINT1%2CFAS%2CHINT3
dgidb.org - GA4	01	01	2025	China	dgidb.org/results?searchType=gene&searchTerms=SCN4A%2CCHGA%2CSERPINE1%2CEZH2%2CFLNC%2CCHEK1%2CCDK1%2CMAPT
dgidb.org - GA4	01	01	2025	China	dgidb.org/results?searchType=gene&searchTerms=TFDP3
dgidb.org - GA4	01	01	2025	China	dgidb.org/results?searchType=gene&searchTerms=ZC3HC1%2CCALB1%2CDPP6%2CSDHB%2CCXCL12
dgidb.org - GA4	01	01	2025	China	dgidb.org/results?searchType=gene&searchTerms=ZER1
dgidb.org - GA4	01	01	2025	China	dgidb.org/results?searchType=gene&searchTerms=oxidative+stress
dgidb.org - GA4	01	01	2025	China	dgidb.org/search_interactions
dgidb.org - GA4	01	01	2025	Finland	dgidb.org/
dgidb.org - GA4	01	01	2025	France	dgidb.org/
dgidb.org - GA4	01	01	2025	France	dgidb.org/drugs/ncit:C1608
dgidb.org - GA4	01	01	2025	France	dgidb.org/drugs/ncit:C586
dgidb.org - GA4	01	01	2025	France	dgidb.org/drugs/rxcui:11246
dgidb.org - GA4	01	01	2025	France	dgidb.org/drugs/rxcui:142436
dgidb.org - GA4	01	01	2025	France	dgidb.org/drugs/rxcui:17128
dgidb.org - GA4	01	01	2025	France	dgidb.org/drugs/rxcui:3098
dgidb.org - GA4	01	01	2025	France	dgidb.org/drugs/rxcui:33562
dgidb.org - GA4	01	01	2025	France	dgidb.org/drugs/rxcui:595060
dgidb.org - GA4	01	01	2025	France	dgidb.org/drugs/rxcui:596
dgidb.org - GA4	01	01	2025	France	dgidb.org/drugs/rxcui:6835
dgidb.org - GA4	01	01	2025	France	dgidb.org/drugs/rxcui:9344
dgidb.org - GA4	01	01	2025	France	dgidb.org/interactions/da4acaa5-d0ee-45b5-8a56-064c33ebbcbc
dgidb.org - GA4	01	01	2025	France	dgidb.org/results?searchType=gene&searchTerms=CXCL8
dgidb.org - GA4	01	01	2025	France	dgidb.org/results?searchType=gene&searchTerms=IL8
dgidb.org - GA4	01	01	2025	Germany	dgidb.org/
dgidb.org - GA4	01	01	2025	Hong Kong	dgidb.org/
dgidb.org - GA4	01	01	2025	Hong Kong	dgidb.org/about
dgidb.org - GA4	01	01	2025	Hong Kong	dgidb.org/downloads
dgidb.org - GA4	01	01	2025	Hong Kong	dgidb.org/drugs/rxcui:1098413
dgidb.org - GA4	01	01	2025	Hong Kong	dgidb.org/results?searchType=gene&searchTerms=ZER1%2CTMEM120A%2CEPHB6%2CZFP36L2
dgidb.org - GA4	01	01	2025	India	dgidb.org/
dgidb.org - GA4	01	01	2025	India	dgidb.org/about
dgidb.org - GA4	01	01	2025	India	dgidb.org/browse/sources
dgidb.org - GA4	01	01	2025	India	dgidb.org/downloads
dgidb.org - GA4	01	01	2025	India	dgidb.org/downloads?utm=
dgidb.org - GA4	01	01	2025	Iran	dgidb.org/
dgidb.org - GA4	01	01	2025	Iran	dgidb.org/drugs/chembl:CHEMBL2109529
dgidb.org - GA4	01	01	2025	Iran	dgidb.org/interactions/5d24bb60-c985-4714-bbb6-4ee66f1c9e7d
dgidb.org - GA4	01	01	2025	Iran	dgidb.org/results?searchType=gene&searchTerms=ITGAL%2CIL12RB1%2Cklrg
dgidb.org - GA4	01	01	2025	Israel	dgidb.org/
dgidb.org - GA4	01	01	2025	Israel	dgidb.org/drugs/ncit:C2688
dgidb.org - GA4	01	01	2025	Israel	dgidb.org/genes/hgnc:11219
dgidb.org - GA4	01	01	2025	Israel	dgidb.org/results?searchType=gene&searchTerms=SPARC
dgidb.org - GA4	01	01	2025	Italy	dgidb.org/
dgidb.org - GA4	01	01	2025	Japan	dgidb.org/
dgidb.org - GA4	01	01	2025	Japan	dgidb.org/drugs/ncit:C171067
dgidb.org - GA4	01	01	2025	Japan	dgidb.org/genes/hgnc:795
dgidb.org - GA4	01	01	2025	Japan	dgidb.org/interactions/53fbc4d2-b5ca-42b7-a550-94137c86f23e
