repo_name	num_forks	num_contributors	total_contributions	num_stars	health_percentage	num_repo_activities	total_contributors
dgidb/dgidb-v5	7	9	NA	41	37	845	938
dgidb/dgipy	NA	3	NA	2	37	377	77
dgidb/dgiLIT	NA	2	NA	NA	12	87	15
dgidb/r-dgidb	NA	2	NA	1	37	146	114
dgidb/dgidb-v5	7	9	NA	43	37	848	938
dgidb/dgiLIT	NA	2	NA	NA	12	88	15
dgidb/dgidb-v5	8	9	NA	44	37	849	938
dgidb/dgipy	NA	3	NA	2	37	378	77
dgidb/dgiLIT	NA	2	NA	NA	12	103	15
dgidb/r-dgidb	NA	2	NA	1	37	151	118
dgidb/dgidb-v5	8	9	NA	44	37	851	938
dgidb/dgipy	NA	3	NA	2	37	382	78
dgidb/dgiLIT	NA	2	NA	NA	12	108	15
dgidb/dgidb-v5	8	9	NA	43	37	854	945
dgidb/dgiLIT	NA	2	NA	NA	12	114	15
