repo	timestamp	count_clones	uniques_clones	count_views	uniques_views	repo_name
dgidb/dgidb-v5	2026-06-08	12	7	6	4	dgidb/dgidb-v5
dgidb/dgidb-v5	2026-06-09	11	6	10	4	dgidb/dgidb-v5
dgidb/dgidb-v5	2026-06-10	5	4	2	2	dgidb/dgidb-v5
dgidb/dgidb-v5	2026-06-11	0	0	6	6	dgidb/dgidb-v5
dgidb/dgidb-v5	2026-06-12	6	6	9	9	dgidb/dgidb-v5
dgidb/dgidb-v5	2026-06-13	11	10	4	3	dgidb/dgidb-v5
dgidb/dgidb-v5	2026-06-14	2	1	8	4	dgidb/dgidb-v5
dgidb/dgidb-v5	2026-06-15	1	1	6	4	dgidb/dgidb-v5
dgidb/dgidb-v5	2026-06-16	5	4	3	2	dgidb/dgidb-v5
dgidb/dgidb-v5	2026-06-17	3	3	4	4	dgidb/dgidb-v5
dgidb/dgidb-v5	2026-06-18	3	3	4	2	dgidb/dgidb-v5
dgidb/dgidb-v5	2026-06-19	11	8	4	4	dgidb/dgidb-v5
dgidb/dgidb-v5	2026-06-20	6	6	5	4	dgidb/dgidb-v5
dgidb/dgidb-v5	2026-06-21	5	4	2	2	dgidb/dgidb-v5
dgidb/dgipy	2026-06-08	2	1	0	0	dgidb/dgipy
dgidb/dgipy	2026-06-09	1	1	0	0	dgidb/dgipy
dgidb/dgipy	2026-06-10	7	7	0	0	dgidb/dgipy
dgidb/dgipy	2026-06-11	0	0	0	0	dgidb/dgipy
dgidb/dgipy	2026-06-12	0	0	0	0	dgidb/dgipy
dgidb/dgipy	2026-06-13	3	3	0	0	dgidb/dgipy
dgidb/dgipy	2026-06-14	4	1	0	0	dgidb/dgipy
dgidb/dgipy	2026-06-15	1	1	0	0	dgidb/dgipy
dgidb/dgipy	2026-06-16	1	1	0	0	dgidb/dgipy
dgidb/dgipy	2026-06-17	6	6	0	0	dgidb/dgipy
dgidb/dgipy	2026-06-18	0	0	0	0	dgidb/dgipy
dgidb/dgipy	2026-06-19	0	0	1	1	dgidb/dgipy
dgidb/dgipy	2026-06-20	0	0	3	1	dgidb/dgipy
dgidb/dgipy	2026-06-21	0	0	0	0	dgidb/dgipy
dgidb/dgiLIT	2026-06-08	59	8	14	2	dgidb/dgiLIT
dgidb/dgiLIT	2026-06-09	25	16	5	2	dgidb/dgiLIT
dgidb/dgiLIT	2026-06-10	3	3	0	0	dgidb/dgiLIT
dgidb/dgiLIT	2026-06-11	9	4	10	2	dgidb/dgiLIT
dgidb/dgiLIT	2026-06-12	3	3	0	0	dgidb/dgiLIT
dgidb/dgiLIT	2026-06-13	1	1	0	0	dgidb/dgiLIT
dgidb/dgiLIT	2026-06-14	4	1	0	0	dgidb/dgiLIT
dgidb/dgiLIT	2026-06-15	9	5	3	2	dgidb/dgiLIT
dgidb/dgiLIT	2026-06-16	7	4	0	0	dgidb/dgiLIT
dgidb/dgiLIT	2026-06-17	0	0	5	1	dgidb/dgiLIT
dgidb/dgiLIT	2026-06-18	11	6	4	1	dgidb/dgiLIT
dgidb/dgiLIT	2026-06-19	10	7	0	0	dgidb/dgiLIT
dgidb/dgiLIT	2026-06-20	2	2	0	0	dgidb/dgiLIT
dgidb/dgiLIT	2026-06-21	2	1	0	0	dgidb/dgiLIT
dgidb/r-dgidb	2026-06-08	1	1	0	0	dgidb/r-dgidb
dgidb/r-dgidb	2026-06-09	0	0	0	0	dgidb/r-dgidb
dgidb/r-dgidb	2026-06-10	4	4	0	0	dgidb/r-dgidb
dgidb/r-dgidb	2026-06-11	0	0	0	0	dgidb/r-dgidb
dgidb/r-dgidb	2026-06-12	0	0	0	0	dgidb/r-dgidb
dgidb/r-dgidb	2026-06-13	1	1	0	0	dgidb/r-dgidb
dgidb/r-dgidb	2026-06-14	0	0	0	0	dgidb/r-dgidb
dgidb/r-dgidb	2026-06-15	23	13	1	1	dgidb/r-dgidb
dgidb/r-dgidb	2026-06-16	3	2	0	0	dgidb/r-dgidb
dgidb/r-dgidb	2026-06-17	0	0	0	0	dgidb/r-dgidb
dgidb/r-dgidb	2026-06-18	0	0	0	0	dgidb/r-dgidb
dgidb/r-dgidb	2026-06-19	2	2	0	0	dgidb/r-dgidb
dgidb/r-dgidb	2026-06-20	3	2	0	0	dgidb/r-dgidb
dgidb/r-dgidb	2026-06-21	1	1	0	0	dgidb/r-dgidb
dgidb/dgidb-v5	2026-06-22	123	18	17	6	dgidb/dgidb-v5
dgidb/dgidb-v5	2026-06-23	4	3	7	4	dgidb/dgidb-v5
dgidb/dgidb-v5	2026-06-24	12	9	4	2	dgidb/dgidb-v5
dgidb/dgidb-v5	2026-06-25	1	1	8	3	dgidb/dgidb-v5
dgidb/dgidb-v5	2026-06-26	16	12	4	4	dgidb/dgidb-v5
dgidb/dgipy	2026-06-22	8	8	13	1	dgidb/dgipy
dgidb/dgipy	2026-06-23	15	12	0	0	dgidb/dgipy
dgidb/dgipy	2026-06-24	2	2	0	0	dgidb/dgipy
dgidb/dgipy	2026-06-25	5	3	1	1	dgidb/dgipy
dgidb/dgipy	2026-06-26	3	3	1	1	dgidb/dgipy
dgidb/dgiLIT	2026-06-22	8	4	5	2	dgidb/dgiLIT
dgidb/dgiLIT	2026-06-23	1	1	2	2	dgidb/dgiLIT
dgidb/dgiLIT	2026-06-24	8	4	9	1	dgidb/dgiLIT
dgidb/dgiLIT	2026-06-25	24	7	0	0	dgidb/dgiLIT
dgidb/dgiLIT	2026-06-26	0	0	0	0	dgidb/dgiLIT
dgidb/r-dgidb	2026-06-22	3	3	0	0	dgidb/r-dgidb
dgidb/r-dgidb	2026-06-23	1	1	0	0	dgidb/r-dgidb
dgidb/r-dgidb	2026-06-24	1	1	0	0	dgidb/r-dgidb
dgidb/r-dgidb	2026-06-25	0	0	0	0	dgidb/r-dgidb
dgidb/r-dgidb	2026-06-26	0	0	1	1	dgidb/r-dgidb
